CourseID,Name,Url,Code,Img
1,Những môn chính học kỳ 1,google.com,1111,google.com
2,Những môn chính học kỳ 2,google.com,1111,google.com
3,Logic học,coursera.org,2113438,google.com
4,Phương pháp tính,coursera.org,2113435,google.com
5,Vật lý đại cương,https://www.amazon.com/General-Physics-2nd-Morton-Sternheim/dp/0471522783,2113437,"https://images-na.ssl-images-amazon.com/images/I/51ghO6RhKUL._SX377_BO1,204,203,200_.jpg"
6,Toán ứng dụng,coursera.org,2113434,google.com
7,Hàm phức và phép biến đổi Laplace,coursera.org,2113436,google.com
8,Những môn chính học kỳ 3,google.com,1111,google.com
9,Kỹ năng xây dựng kế hoạch,https://www.amazon.com/Powerful-Planning-Skills-Peter-Capezio/dp/1564144410,2132002,"https://images-na.ssl-images-amazon.com/images/I/51qNxiJLImL._SX321_BO1,204,203,200_.jpg"
10,Quản trị học,coursera.org,2107483,google.com
11,Quản trị doanh nghiệp,coursera.org,2107510,google.com
12,Kế toán cơ bản,coursera.org,2127481,google.com
13,Môi trường và con người,coursera.org,2123800,google.com
14,Giao tiếp kinh doanh,coursera.org,2107492,google.com
15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,coursera.org,2101727,google.com
16,Những môn chính học kỳ 4,google.com,1111,google.com
17,Hệ quản trị cơ sở dữ liệu,https://ocw.mit.edu/courses/6-830-database-systems-fall-2010,2101425,https://ocw.mit.edu/images/mit-ol.png
18,Tương tác người máy,coursera.org,2101428,google.com
19,Thương mại điện tử,coursera.org,2101652,google.com
20,Lập trình hướng sự kiện với công nghệ .NET,coursera.org,2101555,google.com
21,Lập trình hướng sự kiện với công nghệ Java,https://www.amazon.com/Event-Based-Programming-Taking-Events-Limit/dp/1590596439,2101556,"https://images-na.ssl-images-amazon.com/images/I/516yRtQWIxL._SX367_BO1,204,203,200_.jpg"
22,Lập trình GUI với Qt Framework,coursera.org,2101667,google.com
23,Những môn chính học kỳ 5,google.com,1111,google.com
24,Tâm lí học đại cương,https://ocw.mit.edu/courses/9-00sc-introduction-to-psychology-fall-2011,2110585,https://ocw.mit.edu/images/mit-ol.png
25,Cơ sở văn hóa Việt Nam,coursera.org,2111491,google.com
26,Xã hội học,coursera.org,2113439,google.com
27,Tiếng Việt thực hành,coursera.org,2111492,google.com
28,Âm nhạc - Nhạc lý và Guitar căn bản,coursera.org,2112011,google.com
29,Hội họa,coursera.org,2106529,google.com
30,Những môn chính học kỳ 6,google.com,1111,google.com
31,Lập trình phân tán với công nghệ .NET,coursera.org,2101557,google.com
32,Lập trình phân tán với công nghệ Java,https://www.amazon.com/Distributed-Programming-Java-Qusay-Mahmoud/dp/1884777651,2101558,"https://images-na.ssl-images-amazon.com/images/I/51ZRj-cILPL._SX398_BO1,204,203,200_.jpg"
33,Lập trình mạng với Qt Framework,coursera.org,2101668,google.com
34,Khai thác dữ liệu và ứng dụng,coursera.org,2101627,google.com
35,Kỹ thuật điện tử,coursera.org,2102437,google.com
36,Lập trình phân tích dữ liệu 1,https://www.amazon.com/Python-Data-Analysis/s?k=Python+for+Data+Analysis,2101584,"https://images-na.ssl-images-amazon.com/images/I/51HuYEwAl2L._SX379_BO1,204,203,200_.jpg"
37,Những môn chính học kỳ 7,google.com,1111,google.com
38,Lập trình WWW (.NET),coursera.org,2101662,google.com
39,Lập trình WWW (Java),https://www.amazon.com/Foundations-Java-Programming-World-Wide/dp/1568848110,2101635,"https://images-na.ssl-images-amazon.com/images/I/41YocQafUpL._SX331_BO1,204,203,200_.jpg"
40,Lập trình IoTs,coursera.org,2101637,google.com
41,Phát triển ứng dụng Web với Qt Engine,coursera.org,2101669,google.com
42,Những môn chính học kỳ 8,google.com,1111,google.com
43,Lập trình phân tích dữ liệu 2,coursera.org,2101589,google.com
44,Automat & ngôn ngữ hình thức,coursera.org,2101441,google.com
45,Lập trình thiết bị di động nâng cao,https://www.amazon.com/Android-Development-Intermediate-Advanced-Programmers/dp/1481824155,2101636,"https://images-na.ssl-images-amazon.com/images/I/51NJ37ieDVL._SX331_BO1,204,203,200_.jpg"
46,Kiến trúc hướng dịch vụ và Điện toán đám mây,coursera.org,2101661,google.com
47,Nhập môn dữ liệu lớn,coursera.org,2101582,google.com
48,Quản lý dự án CNTT,https://www.amazon.com/Project-Management-Track-Start-Finish/dp/0071700439,2101648,"https://images-na.ssl-images-amazon.com/images/I/41eFr7fMwrL._SX402_BO1,204,203,200_.jpg"
49,Tiếp thị điện tử,coursera.org,2101544,google.com
50,Những môn chính học kỳ 9,google.com,1111,google.com
